Address,CountryCode,Nickname,Fingerprint,Bandwidth,Flags,Guard,Middle,Exit
104.53.221.159,US,seele,000A10D43011EA4928A35F610405F92B4433B4DC,510,Fast HSDir Running Stable V2Dir Valid,No,No,No
204.137.14.106,NL,SENDNOOSEplz,000F3EB75342BE371F1D8D3FAE90890AEB5664EE,15000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
178.218.144.18,IT,titamon3,0011254CC8444369B20EF11156B8990438221A54,21000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
162.247.74.201,US,CalyxInstitute14,0011BD2485AD45D984EC4159C88FC066E5E3300E,26000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
198.98.61.11,US,freedomrunner,0011F7E36734D661E83ACD2D7653A3796A913D77,24000,Fast Running V2Dir Valid,No,No,No
95.111.230.178,DE,skylarkRelay,00240ECB2B535AA4C1E1874D744DFA6AF2E5E941,7100,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
195.15.242.99,CH,StarAppsMobley,00283B5564E3072DCDDAB31D6EF622DD49BF524F,12000,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
186.105.172.2,CL,ckg,00367893160E9E58BC6101858E543EE6D0A22BC1,750,Fast Running V2Dir Valid,No,No,No
185.220.101.33,DE,ForPrivacyNET,0036FA36AB435FD5D0F640626636867EBFB72C68,26000,Exit Fast Guard Running Stable V2Dir Valid,No,No,Yes
23.132.184.67,US,prsv,003BCF43C832426A160CA0966B8A87C88DB83A17,38000,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
51.15.75.120,FR,dc6jgk11d,0040A5B04C7E309D37CBE7EDB2B72D3E15D057C1,21000,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
192.42.116.174,,NTH22R5,004F9A0513C84E72054CEB555DB51EEEF319546D,23000,Exit Fast Running Stable Valid,No,No,Yes
192.42.116.185,,NTH33R5,0055DB090820D7C08999EC1598FD6EA6365861AD,20000,Exit Fast Running Stable Valid,No,No,Yes
109.241.214.64,PL,namie,005C8BF81A0E1F708DB42A573C84AF025A406FCF,6300,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
149.28.231.184,US,Gimil,005D248D0C720258CE06522E27D1070D6216D43E,10000,Exit Fast Running V2Dir Valid,No,No,Yes
104.244.79.75,LU,Athena,005ED97213F725867E422B8DC0443361BBB24E3C,17000,Fast Running V2Dir Valid,No,No,No
109.70.100.70,AT,eisbaer,0061D22AFD1F06D4E6F35006BD3D9C21D7981EA9,18000,Exit Fast Running Stable Valid,No,No,Yes
174.128.250.165,US,right2,00654113959763F653C92AFF078A7EC3A7BBD2D9,42000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
5.9.12.251,DE,a9,006AE565CA934C6EE5E82FC64008D61426E8C317,44000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
200.25.16.77,BR,GuyaGuya2,006F965E89A9C3A61C9F08A6B31C28F66AF218FD,1600,BadExit Fast MiddleOnly Running Stable Valid,No,Yes,No
199.249.230.103,US,Quintex13,0077BCBA7244DB3E6A5ED2746E86170066684887,6700,Exit Fast HSDir Running Stable V2Dir Valid,No,No,Yes
71.19.144.65,US,venenata,0077DDDDB54954214CFEE0FE8AA85DDC857E7C8A,11000,Fast Running Stable Valid,No,No,No
176.118.193.106,AT,HandsofGoldSpa,0082C49022C0811D45620D408E068835E2BABA71,8,BadExit MiddleOnly Running Stable Valid,No,Yes,No
192.42.116.195,,NTH5R7,008F10F88397C11C062217EAC35D782F03BDF4C7,1,Exit Running Valid,No,No,Yes
5.189.155.39,DE,technofobe,00962D2DD0B9BF3A6AF1D5EB201132388ACA1424,480,Fast HSDir Running Stable V2Dir Valid,No,No,No
192.42.116.174,,NTH22R4,009EF5F8572D671AFCBBAD65998BA35B50EE04BC,18000,Exit Fast Running Stable Valid,No,No,Yes
185.100.87.253,RO,artikel10buc43,00A13056C61CE4C535A64D0207C6DD95771E1033,5700,Exit Fast Running Stable Valid,No,No,Yes
158.174.145.139,SE,mharelay,00B57BF614F7ED3051073B5D4526FF0B23AF217B,12000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
37.9.168.146,SK,GoToXMR,00B73392971F10640E213B989D895A1DBCEB9D60,9500,Fast Running Stable Valid,No,No,No
192.42.116.182,,NTH30R8,00BD33C25A006BA95103D3E8043FA7EF1E2BCA6C,18000,Exit Fast Running Stable Valid,No,No,Yes
2.59.235.35,ES,ARFNETRelay,00C2B794F74B8759D26786EE363009C9C59088F5,11000,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
185.66.141.125,BZ,l25,00C4B91374AC790CB2F3865D2F36F62DF27F0A0F,530,Fast Running Stable Valid,No,No,No
45.134.225.36,DE,bauruine,00CC3A3D92C33E171BBDAEACC4601173BFA24150,18000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
89.236.112.100,FI,effiorg1984,00CCE6A84E6D63A1A42E105839BC8ED5D4B16669,13000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
107.155.81.178,US,tried,00D2CE3C2153EA09786F2105F26B138CF759424F,73000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
45.88.171.100,US,prsv,00D846D23455162A1357680CDA3C2C21351E1A18,47000,Fast Running Stable V2Dir Valid,No,No,No
5.9.56.249,DE,ChumBucket,00DA4A3852EA5EF6841B8B4372DB0EFD3AB0BE92,59000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
